seller_id,product_name,product_id,buyer_id,product_rating,product_price
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,434,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,84,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,104,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,97,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,1,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,338,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,8,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,412,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,438,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,232,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,471,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,286,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,309,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,488,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,344,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,465,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,276,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,204,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,101,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,49,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,148,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,138,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,183,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,1144,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,398,5.0,8010
801,Cetakan kue kering kastengel segi kotak gagang kayu,11214,97,5.0,8010
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,318,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,148,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,156,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,280,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,36,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,388,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,168,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,413,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,141,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,476,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,60,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,416,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,222,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,351,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,108,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,17,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,424,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,426,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,230,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,111,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,206,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,123,5.0,19900
74,"DINERA- Mangkuk Sup Ukuran 4,5 inch / Mangkok Nasi",10525,176,5.0,19900
701,4 Pcs-Single Dinner Set White Flower-Japanese Tableware Import Premium,10609,221,5.0,165000
701,4 Pcs-Single Dinner Set White Flower-Japanese Tableware Import Premium,10609,57,5.0,165000
701,4 Pcs-Single Dinner Set White Flower-Japanese Tableware Import Premium,10609,19,5.0,165000
701,4 Pcs-Single Dinner Set White Flower-Japanese Tableware Import Premium,10609,283,5.0,165000
701,4 Pcs-Single Dinner Set White Flower-Japanese Tableware Import Premium,10609,483,5.0,165000
701,4 Pcs-Single Dinner Set White Flower-Japanese Tableware Import Premium,10609,170,5.0,165000
701,4 Pcs-Single Dinner Set White Flower-Japanese Tableware Import Premium,10609,1260,5.0,165000
701,4 Pcs-Single Dinner Set White Flower-Japanese Tableware Import Premium,10609,213,5.0,165000
701,4 Pcs-Single Dinner Set White Flower-Japanese Tableware Import Premium,10609,164,5.0,165000
701,4 Pcs-Single Dinner Set White Flower-Japanese Tableware Import Premium,10609,1405,5.0,165000
701,4 Pcs-Single Dinner Set White Flower-Japanese Tableware Import Premium,10609,140,5.0,165000
701,4 Pcs-Single Dinner Set White Flower-Japanese Tableware Import Premium,10609,333,5.0,165000
701,4 Pcs-Single Dinner Set White Flower-Japanese Tableware Import Premium,10609,1144,5.0,165000
701,4 Pcs-Single Dinner Set White Flower-Japanese Tableware Import Premium,10609,340,5.0,165000
